date,Alarm Year,Alarm Month,Alarm Day,Major Incident Type,Incident Count,id
20/03/2010,2010,3,20,Fire,15,2010-03-20Fire
20/03/2010,2010,3,20,Hazardous Condition,15,2010-03-20Hazardous Condition
20/03/2010,2010,3,20,Investigation,24,2010-03-20Investigation
20/03/2010,2010,3,20,Medical/Rescue,48,2010-03-20Medical/Rescue
20/03/2010,2010,3,20,Public Service Assistance,8,2010-03-20Public Service Assistance
21/03/2010,2010,3,21,False Alarm,11,2010-03-21False Alarm
21/03/2010,2010,3,21,Fire,10,2010-03-21Fire
21/03/2010,2010,3,21,Hazardous Condition,9,2010-03-21Hazardous Condition
21/03/2010,2010,3,21,Investigation,10,2010-03-21Investigation
21/03/2010,2010,3,21,Medical/Rescue,66,2010-03-21Medical/Rescue
21/03/2010,2010,3,21,Public Service Assistance,2,2010-03-21Public Service Assistance
22/03/2010,2010,3,22,False Alarm,17,2010-03-22False Alarm
22/03/2010,2010,3,22,Fire,8,2010-03-22Fire
22/03/2010,2010,3,22,Hazardous Condition,19,2010-03-22Hazardous Condition
22/03/2010,2010,3,22,Investigation,14,2010-03-22Investigation
22/03/2010,2010,3,22,Medical/Rescue,60,2010-03-22Medical/Rescue
22/03/2010,2010,3,22,Public Service Assistance,7,2010-03-22Public Service Assistance
15/03/2010,2010,3,15,Fire,5,2010-03-15Fire
23/03/2010,2010,3,23,False Alarm,23,2010-03-23False Alarm
23/03/2010,2010,3,23,Fire,17,2010-03-23Fire
23/03/2010,2010,3,23,Hazardous Condition,24,2010-03-23Hazardous Condition
23/03/2010,2010,3,23,Investigation,7,2010-03-23Investigation
23/03/2010,2010,3,23,Medical/Rescue,64,2010-03-23Medical/Rescue
23/03/2010,2010,3,23,Public Service Assistance,10,2010-03-23Public Service Assistance
24/03/2010,2010,3,24,False Alarm,13,2010-03-24False Alarm
24/03/2010,2010,3,24,Fire,8,2010-03-24Fire
24/03/2010,2010,3,24,Hazardous Condition,8,2010-03-24Hazardous Condition
24/03/2010,2010,3,24,Investigation,15,2010-03-24Investigation
24/03/2010,2010,3,24,Medical/Rescue,57,2010-03-24Medical/Rescue
24/03/2010,2010,3,24,Public Service Assistance,10,2010-03-24Public Service Assistance
25/03/2010,2010,3,25,False Alarm,23,2010-03-25False Alarm
25/03/2010,2010,3,25,Hazardous Condition,10,2010-03-25Hazardous Condition
25/03/2010,2010,3,25,Investigation,13,2010-03-25Investigation
25/03/2010,2010,3,25,Medical/Rescue,58,2010-03-25Medical/Rescue
25/03/2010,2010,3,25,Public Service Assistance,8,2010-03-25Public Service Assistance
26/03/2010,2010,3,26,False Alarm,17,2010-03-26False Alarm
26/03/2010,2010,3,26,Fire,8,2010-03-26Fire
26/03/2010,2010,3,26,Hazardous Condition,22,2010-03-26Hazardous Condition
26/03/2010,2010,3,26,Investigation,15,2010-03-26Investigation
26/03/2010,2010,3,26,Medical/Rescue,71,2010-03-26Medical/Rescue
26/03/2010,2010,3,26,Public Service Assistance,6,2010-03-26Public Service Assistance
27/03/2010,2010,3,27,False Alarm,22,2010-03-27False Alarm
27/03/2010,2010,3,27,Fire,9,2010-03-27Fire
27/03/2010,2010,3,27,Hazardous Condition,18,2010-03-27Hazardous Condition
27/03/2010,2010,3,27,Investigation,14,2010-03-27Investigation
27/03/2010,2010,3,27,Medical/Rescue,55,2010-03-27Medical/Rescue
27/03/2010,2010,3,27,Public Service Assistance,10,2010-03-27Public Service Assistance
28/03/2010,2010,3,28,False Alarm,11,2010-03-28False Alarm
28/03/2010,2010,3,28,Fire,17,2010-03-28Fire
28/03/2010,2010,3,28,Hazardous Condition,17,2010-03-28Hazardous Condition
28/03/2010,2010,3,28,Investigation,10,2010-03-28Investigation
28/03/2010,2010,3,28,Medical/Rescue,54,2010-03-28Medical/Rescue
28/03/2010,2010,3,28,Public Service Assistance,10,2010-03-28Public Service Assistance
29/03/2010,2010,3,29,False Alarm,18,2010-03-29False Alarm
29/03/2010,2010,3,29,Hazardous Condition,30,2010-03-29Hazardous Condition
04/02/2010,2010,2,4,Medical/Rescue,64,2010-02-04Medical/Rescue
29/03/2010,2010,3,29,Investigation,12,2010-03-29Investigation
29/03/2010,2010,3,29,Medical/Rescue,69,2010-03-29Medical/Rescue
29/03/2010,2010,3,29,Public Service Assistance,7,2010-03-29Public Service Assistance
30/03/2010,2010,3,30,False Alarm,17,2010-03-30False Alarm
30/03/2010,2010,3,30,Hazardous Condition,20,2010-03-30Hazardous Condition
30/03/2010,2010,3,30,Investigation,8,2010-03-30Investigation
30/03/2010,2010,3,30,Medical/Rescue,66,2010-03-30Medical/Rescue
30/03/2010,2010,3,30,Public Service Assistance,6,2010-03-30Public Service Assistance
31/03/2010,2010,3,31,False Alarm,21,2010-03-31False Alarm
31/03/2010,2010,3,31,Fire,9,2010-03-31Fire
31/03/2010,2010,3,31,Hazardous Condition,22,2010-03-31Hazardous Condition
31/03/2010,2010,3,31,Investigation,17,2010-03-31Investigation
31/03/2010,2010,3,31,Medical/Rescue,72,2010-03-31Medical/Rescue
31/03/2010,2010,3,31,Public Service Assistance,9,2010-03-31Public Service Assistance
01/04/2010,2010,4,1,False Alarm,31,2010-04-01False Alarm
01/04/2010,2010,4,1,Fire,7,2010-04-01Fire
01/04/2010,2010,4,1,Hazardous Condition,19,2010-04-01Hazardous Condition
01/04/2010,2010,4,1,Investigation,21,2010-04-01Investigation
01/04/2010,2010,4,1,Medical/Rescue,79,2010-04-01Medical/Rescue
01/04/2010,2010,4,1,Public Service Assistance,10,2010-04-01Public Service Assistance
02/04/2010,2010,4,2,False Alarm,21,2010-04-02False Alarm
02/04/2010,2010,4,2,Fire,12,2010-04-02Fire
02/04/2010,2010,4,2,Hazardous Condition,8,2010-04-02Hazardous Condition
02/04/2010,2010,4,2,Investigation,19,2010-04-02Investigation
02/04/2010,2010,4,2,Medical/Rescue,51,2010-04-02Medical/Rescue
02/04/2010,2010,4,2,Public Service Assistance,14,2010-04-02Public Service Assistance
03/04/2010,2010,4,3,False Alarm,17,2010-04-03False Alarm
03/04/2010,2010,4,3,Fire,9,2010-04-03Fire
03/04/2010,2010,4,3,Hazardous Condition,23,2010-04-03Hazardous Condition
03/04/2010,2010,4,3,Investigation,11,2010-04-03Investigation
03/04/2010,2010,4,3,Medical/Rescue,52,2010-04-03Medical/Rescue
03/04/2010,2010,4,3,Public Service Assistance,8,2010-04-03Public Service Assistance
04/04/2010,2010,4,4,Fire,8,2010-04-04Fire
04/04/2010,2010,4,4,Hazardous Condition,8,2010-04-04Hazardous Condition
04/04/2010,2010,4,4,Investigation,5,2010-04-04Investigation
04/04/2010,2010,4,4,Medical/Rescue,45,2010-04-04Medical/Rescue
04/04/2010,2010,4,4,Public Service Assistance,14,2010-04-04Public Service Assistance
05/04/2010,2010,4,5,False Alarm,21,2010-04-05False Alarm
05/04/2010,2010,4,5,Fire,10,2010-04-05Fire
05/04/2010,2010,4,5,Hazardous Condition,25,2010-04-05Hazardous Condition
05/04/2010,2010,4,5,Investigation,17,2010-04-05Investigation
05/04/2010,2010,4,5,Medical/Rescue,46,2010-04-05Medical/Rescue
05/04/2010,2010,4,5,Public Service Assistance,13,2010-04-05Public Service Assistance
06/04/2010,2010,4,6,False Alarm,23,2010-04-06False Alarm
06/04/2010,2010,4,6,Fire,6,2010-04-06Fire
06/04/2010,2010,4,6,Hazardous Condition,15,2010-04-06Hazardous Condition
06/04/2010,2010,4,6,Investigation,16,2010-04-06Investigation
06/04/2010,2010,4,6,Medical/Rescue,59,2010-04-06Medical/Rescue
06/04/2010,2010,4,6,Public Service Assistance,3,2010-04-06Public Service Assistance
07/04/2010,2010,4,7,False Alarm,25,2010-04-07False Alarm
07/04/2010,2010,4,7,Fire,7,2010-04-07Fire
07/04/2010,2010,4,7,Hazardous Condition,13,2010-04-07Hazardous Condition
07/04/2010,2010,4,7,Investigation,13,2010-04-07Investigation
07/04/2010,2010,4,7,Medical/Rescue,72,2010-04-07Medical/Rescue
07/04/2010,2010,4,7,Public Service Assistance,9,2010-04-07Public Service Assistance
08/04/2010,2010,4,8,False Alarm,54,2010-04-08False Alarm
08/04/2010,2010,4,8,Fire,13,2010-04-08Fire
08/04/2010,2010,4,8,Hazardous Condition,21,2010-04-08Hazardous Condition
08/04/2010,2010,4,8,Investigation,30,2010-04-08Investigation
08/04/2010,2010,4,8,Medical/Rescue,76,2010-04-08Medical/Rescue
08/04/2010,2010,4,8,Public Service Assistance,10,2010-04-08Public Service Assistance
08/04/2010,2010,4,8,Severe Weather,1,2010-04-08Severe Weather
09/04/2010,2010,4,9,False Alarm,20,2010-04-09False Alarm
09/04/2010,2010,4,9,Fire,3,2010-04-09Fire
09/04/2010,2010,4,9,Hazardous Condition,21,2010-04-09Hazardous Condition
09/04/2010,2010,4,9,Investigation,16,2010-04-09Investigation
09/04/2010,2010,4,9,Medical/Rescue,60,2010-04-09Medical/Rescue
09/04/2010,2010,4,9,Public Service Assistance,10,2010-04-09Public Service Assistance
10/04/2010,2010,4,10,False Alarm,16,2010-04-10False Alarm
10/04/2010,2010,4,10,Fire,12,2010-04-10Fire
10/04/2010,2010,4,10,Hazardous Condition,13,2010-04-10Hazardous Condition
10/04/2010,2010,4,10,Investigation,18,2010-04-10Investigation
10/04/2010,2010,4,10,Medical/Rescue,59,2010-04-10Medical/Rescue
10/04/2010,2010,4,10,Public Service Assistance,7,2010-04-10Public Service Assistance
11/04/2010,2010,4,11,False Alarm,28,2010-04-11False Alarm
11/04/2010,2010,4,11,Fire,7,2010-04-11Fire
11/04/2010,2010,4,11,Hazardous Condition,12,2010-04-11Hazardous Condition
04/02/2010,2010,2,4,Public Service Assistance,7,2010-02-04Public Service Assistance
11/04/2010,2010,4,11,Investigation,14,2010-04-11Investigation
11/04/2010,2010,4,11,Medical/Rescue,35,2010-04-11Medical/Rescue
11/04/2010,2010,4,11,Public Service Assistance,9,2010-04-11Public Service Assistance
12/04/2010,2010,4,12,False Alarm,10,2010-04-12False Alarm
12/04/2010,2010,4,12,Fire,1,2010-04-12Fire
12/04/2010,2010,4,12,Hazardous Condition,15,2010-04-12Hazardous Condition
12/04/2010,2010,4,12,Investigation,8,2010-04-12Investigation
12/04/2010,2010,4,12,Medical/Rescue,53,2010-04-12Medical/Rescue
12/04/2010,2010,4,12,Public Service Assistance,3,2010-04-12Public Service Assistance
13/04/2010,2010,4,13,False Alarm,21,2010-04-13False Alarm
13/04/2010,2010,4,13,Hazardous Condition,15,2010-04-13Hazardous Condition
13/04/2010,2010,4,13,Investigation,13,2010-04-13Investigation
13/04/2010,2010,4,13,Medical/Rescue,73,2010-04-13Medical/Rescue
13/04/2010,2010,4,13,Public Service Assistance,6,2010-04-13Public Service Assistance
14/04/2010,2010,4,14,False Alarm,23,2010-04-14False Alarm
14/04/2010,2010,4,14,Fire,7,2010-04-14Fire
14/04/2010,2010,4,14,Hazardous Condition,19,2010-04-14Hazardous Condition
14/04/2010,2010,4,14,Investigation,18,2010-04-14Investigation
14/04/2010,2010,4,14,Medical/Rescue,56,2010-04-14Medical/Rescue
14/04/2010,2010,4,14,Public Service Assistance,6,2010-04-14Public Service Assistance
15/04/2010,2010,4,15,False Alarm,19,2010-04-15False Alarm
15/04/2010,2010,4,15,Fire,7,2010-04-15Fire
15/04/2010,2010,4,15,Hazardous Condition,20,2010-04-15Hazardous Condition
15/04/2010,2010,4,15,Investigation,10,2010-04-15Investigation
15/04/2010,2010,4,15,Medical/Rescue,51,2010-04-15Medical/Rescue
15/04/2010,2010,4,15,Public Service Assistance,4,2010-04-15Public Service Assistance
16/04/2010,2010,4,16,False Alarm,25,2010-04-16False Alarm
16/04/2010,2010,4,16,Fire,16,2010-04-16Fire
16/04/2010,2010,4,16,Hazardous Condition,24,2010-04-16Hazardous Condition
16/04/2010,2010,4,16,Investigation,16,2010-04-16Investigation
16/04/2010,2010,4,16,Medical/Rescue,66,2010-04-16Medical/Rescue
16/04/2010,2010,4,16,Public Service Assistance,17,2010-04-16Public Service Assistance
17/04/2010,2010,4,17,False Alarm,22,2010-04-17False Alarm
17/04/2010,2010,4,17,Fire,11,2010-04-17Fire
17/04/2010,2010,4,17,Hazardous Condition,26,2010-04-17Hazardous Condition
17/04/2010,2010,4,17,Investigation,25,2010-04-17Investigation
17/04/2010,2010,4,17,Medical/Rescue,59,2010-04-17Medical/Rescue
10/01/2010,2010,1,10,Public Service Assistance,7,2010-01-10Public Service Assistance
17/04/2010,2010,4,17,Public Service Assistance,23,2010-04-17Public Service Assistance
18/04/2010,2010,4,18,False Alarm,27,2010-04-18False Alarm
18/04/2010,2010,4,18,Fire,10,2010-04-18Fire
18/04/2010,2010,4,18,Hazardous Condition,15,2010-04-18Hazardous Condition
18/04/2010,2010,4,18,Investigation,16,2010-04-18Investigation
18/04/2010,2010,4,18,Medical/Rescue,54,2010-04-18Medical/Rescue
18/04/2010,2010,4,18,Public Service Assistance,12,2010-04-18Public Service Assistance
19/04/2010,2010,4,19,False Alarm,23,2010-04-19False Alarm
19/04/2010,2010,4,19,Hazardous Condition,20,2010-04-19Hazardous Condition
19/04/2010,2010,4,19,Investigation,14,2010-04-19Investigation
19/04/2010,2010,4,19,Medical/Rescue,63,2010-04-19Medical/Rescue
19/04/2010,2010,4,19,Public Service Assistance,12,2010-04-19Public Service Assistance
19/04/2010,2010,4,19,Rupture/Explosion,1,2010-04-19Rupture/Explosion
20/04/2010,2010,4,20,False Alarm,22,2010-04-20False Alarm
20/04/2010,2010,4,20,Fire,10,2010-04-20Fire
20/04/2010,2010,4,20,Hazardous Condition,22,2010-04-20Hazardous Condition
20/04/2010,2010,4,20,Investigation,21,2010-04-20Investigation
20/04/2010,2010,4,20,Medical/Rescue,61,2010-04-20Medical/Rescue
20/04/2010,2010,4,20,Public Service Assistance,9,2010-04-20Public Service Assistance
21/04/2010,2010,4,21,False Alarm,20,2010-04-21False Alarm
21/04/2010,2010,4,21,Hazardous Condition,18,2010-04-21Hazardous Condition
21/04/2010,2010,4,21,Investigation,13,2010-04-21Investigation
21/04/2010,2010,4,21,Medical/Rescue,51,2010-04-21Medical/Rescue
21/04/2010,2010,4,21,Public Service Assistance,11,2010-04-21Public Service Assistance
22/04/2010,2010,4,22,False Alarm,14,2010-04-22False Alarm
22/04/2010,2010,4,22,Fire,11,2010-04-22Fire
22/04/2010,2010,4,22,Hazardous Condition,13,2010-04-22Hazardous Condition
22/04/2010,2010,4,22,Investigation,10,2010-04-22Investigation
22/04/2010,2010,4,22,Medical/Rescue,57,2010-04-22Medical/Rescue
22/04/2010,2010,4,22,Public Service Assistance,13,2010-04-22Public Service Assistance
23/04/2010,2010,4,23,False Alarm,23,2010-04-23False Alarm
23/04/2010,2010,4,23,Fire,6,2010-04-23Fire
23/04/2010,2010,4,23,Hazardous Condition,23,2010-04-23Hazardous Condition
23/04/2010,2010,4,23,Investigation,7,2010-04-23Investigation
23/04/2010,2010,4,23,Medical/Rescue,60,2010-04-23Medical/Rescue
23/04/2010,2010,4,23,Public Service Assistance,7,2010-04-23Public Service Assistance
24/04/2010,2010,4,24,False Alarm,23,2010-04-24False Alarm
24/04/2010,2010,4,24,Fire,6,2010-04-24Fire
24/04/2010,2010,4,24,Hazardous Condition,13,2010-04-24Hazardous Condition
24/04/2010,2010,4,24,Investigation,9,2010-04-24Investigation
24/04/2010,2010,4,24,Medical/Rescue,64,2010-04-24Medical/Rescue
24/04/2010,2010,4,24,Public Service Assistance,10,2010-04-24Public Service Assistance
25/04/2010,2010,4,25,False Alarm,19,2010-04-25False Alarm
25/04/2010,2010,4,25,Fire,2,2010-04-25Fire
25/04/2010,2010,4,25,Hazardous Condition,6,2010-04-25Hazardous Condition
25/04/2010,2010,4,25,Investigation,7,2010-04-25Investigation
25/04/2010,2010,4,25,Medical/Rescue,47,2010-04-25Medical/Rescue
25/04/2010,2010,4,25,Public Service Assistance,8,2010-04-25Public Service Assistance
26/04/2010,2010,4,26,False Alarm,19,2010-04-26False Alarm
26/04/2010,2010,4,26,Fire,7,2010-04-26Fire
26/04/2010,2010,4,26,Hazardous Condition,22,2010-04-26Hazardous Condition
26/04/2010,2010,4,26,Investigation,6,2010-04-26Investigation
26/04/2010,2010,4,26,Medical/Rescue,74,2010-04-26Medical/Rescue
26/04/2010,2010,4,26,Public Service Assistance,9,2010-04-26Public Service Assistance
27/04/2010,2010,4,27,False Alarm,27,2010-04-27False Alarm
27/04/2010,2010,4,27,Fire,1,2010-04-27Fire
27/04/2010,2010,4,27,Hazardous Condition,14,2010-04-27Hazardous Condition
27/04/2010,2010,4,27,Investigation,13,2010-04-27Investigation
27/04/2010,2010,4,27,Medical/Rescue,63,2010-04-27Medical/Rescue
27/04/2010,2010,4,27,Public Service Assistance,9,2010-04-27Public Service Assistance
28/04/2010,2010,4,28,False Alarm,24,2010-04-28False Alarm
28/04/2010,2010,4,28,Fire,5,2010-04-28Fire
28/04/2010,2010,4,28,Hazardous Condition,19,2010-04-28Hazardous Condition
28/04/2010,2010,4,28,Investigation,13,2010-04-28Investigation
28/04/2010,2010,4,28,Medical/Rescue,68,2010-04-28Medical/Rescue
28/04/2010,2010,4,28,Public Service Assistance,11,2010-04-28Public Service Assistance
29/04/2010,2010,4,29,False Alarm,19,2010-04-29False Alarm
29/04/2010,2010,4,29,Fire,5,2010-04-29Fire
29/04/2010,2010,4,29,Hazardous Condition,63,2010-04-29Hazardous Condition
